	total_cells	MOI	library_size	total_transfection_events	gt_collisions	estimated_collisions	estimated_collision_rate	gt_collision_rate	percent_estimation_error
223	401000	35	70000	14063041	5523	5529.336405206472	0.0003931821293279648	0.0003927315578472679	0.11472759743746432
224	401000	35	90000	14031909	4366	4281.780439596623	0.0003051459669241458	0.0003111479699590412	1.9289867247681285
225	401000	40	10000	16083326	50155	50559.05035326071	0.0031435693309493765	0.0031184470177375	0.8056033361792744
226	401000	40	30000	16027506	16736	16725.965024914593	0.0010435787717012611	0.0010442048812834635	0.05996041518526345
227	401000	40	50000	16026604	9998	10063.203970775008	0.0006279061971441366	0.0006238377138413104	0.6521701417784361
228	401000	40	70000	16055835	7017	7205.165504883975	0.000448756822979557	0.0004370373761314812	2.6815662659822546
229	401000	40	90000	16014440	5665	5573.560402583331	0.00034803342499539985	0.0003537432467198354	1.6141146940276994
230	401000	45	10000	18048999	63557	63666.74583833665	0.003527439158168087	0.0035213587191178855	0.1726730939733581
231	401000	45	30000	18021883	21241	21173.458290036768	0.001174874916790702	0.00117862267777457	0.3179780140447015
232	401000	45	50000	18055089	12739	12767.669270917773	0.0007071507247024799	0.0007055628471285852	0.22505118861584533
233	401000	45	70000	18029769	9058	9104.337994527072	0.000504961433201228	0.0005023913506601222	0.5115698225554292
234	401000	45	90000	18039433	7113	7077.537115834653	0.0003923370050397179	0.00039430285863197587	0.49856437741243687
235	401000	50	10000	20081264	78848	78874.11721730977	0.003927746640714935	0.003926446064351327	0.03312350003775822
236	401000	50	30000	20019129	26012	26159.07634693384	0.0013067040202864892	0.0012993572297775792	0.5654172956091178
